team,G,wins,losses,win_pct,SRS,SOS,Unnamed: 8_level_1,wins,losses,Unnamed: 11_level_1,wins,losses,Unnamed: 14_level_1,wins,losses,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,year
Colgate,35,24,11,.686,1.23,-3.83,,13,5,,15,1,,9,9,,2648,2458,,67.8,110.3,.282,.409,.585,52.7,56.6,8.9,10.0,.559,16.8,29.1,.210,2019
Duke,38,32,6,.842,26.90,11.98,,14,4,,15,2,,7,2,,3143,2576,,73.2,112.6,.332,.373,.561,53.8,52.4,12.4,16.4,.536,14.8,35.3,.228,2019
FDU,35,21,14,.600,-6.09,-7.24,,12,6,,13,4,,7,9,,2620,2515,,68.7,107.5,.362,.347,.576,49.3,52.8,10.7,10.5,.544,17.3,28.8,.263,2019
Florida,36,20,16,.556,15.42,11.22,,9,9,,9,6,,5,6,,2440,2289,,64.7,103.7,.299,.433,.530,49.2,51.0,10.9,11.0,.498,15.4,30.6,.216,2019
Florida State,37,29,8,.784,17.99,10.26,,13,5,,15,1,,6,4,,2771,2485,,69.5,106.3,.358,.377,.545,53.2,49.5,10.2,12.7,.505,16.2,32.3,.267,2019
Gardner-Webb,35,23,12,.657,-2.61,-4.43,,11,6,,13,0,,8,9,,2718,2468,,68.5,110.9,.378,.366,.587,49.2,52.6,9.7,8.8,.558,15.0,24.5,.269,2019
Georgia State,34,24,10,.706,2.44,0.65,,13,5,,13,1,,7,7,,2598,2491,,71.3,107.1,.353,.436,.565,45.4,46.0,11.1,14.0,.543,14.5,23.1,.235,2019
Gonzaga,37,33,4,.892,27.79,5.01,,16,0,,17,0,,9,1,,3243,2400,,71.7,122.2,.353,.353,.620,54.7,56.8,10.5,13.9,.590,13.1,30.4,.269,2019
Houston,37,33,4,.892,18.91,4.61,,16,2,,19,1,,10,1,,2787,2258,,67.3,111.8,.316,.426,.550,54.9,55.8,9.6,13.4,.521,13.9,33.8,.222,2019
Iona,33,17,16,.515,-4.78,-5.50,,12,6,,8,3,,5,9,,2532,2508,,71.4,107.4,.368,.445,.568,48.0,50.4,9.5,7.7,.530,15.4,24.3,.275,2019
Iowa,35,23,12,.657,14.27,9.84,,10,10,,14,4,,4,6,,2740,2585,,70.2,110.4,.423,.390,.569,50.6,59.3,8.5,9.0,.527,15.1,29.5,.313,2019
Iowa State,35,23,12,.657,18.07,9.30,,9,9,,12,4,,5,6,,2692,2385,,68.2,112.7,.300,.396,.575,50.3,54.1,10.3,12.5,.548,13.9,28.4,.220,2019
Kansas,36,26,10,.722,18.35,12.79,,12,6,,16,0,,3,8,,2725,2525,,70.3,106.5,.325,.349,.555,52.1,48.3,9.5,10.9,.526,16.1,29.9,.229,2019
Kansas State,34,25,9,.735,15.39,9.18,,14,4,,13,2,,7,5,,2236,2025,,64.9,101.3,.306,.384,.520,50.9,57.6,11.6,7.7,.493,15.2,28.4,.204,2019
Kentucky,37,30,7,.811,21.43,10.29,,15,3,,17,1,,8,2,,2806,2394,,67.3,111.9,.419,.296,.571,56.9,51.2,8.8,13.4,.530,15.9,36.4,.310,2019
Liberty,36,29,7,.806,5.27,-3.88,,14,2,,16,1,,11,3,,2654,2209,,65.4,112.8,.265,.442,.596,51.5,55.2,9.5,8.1,.569,15.1,25.1,.205,2019
Louisiana State,35,28,7,.800,16.50,9.16,,16,2,,15,2,,9,1,,2815,2558,,70.6,111.1,.371,.342,.553,53.0,45.7,12.2,11.8,.512,15.1,36.2,.279,2019
Louisville,34,20,14,.588,17.28,11.04,,10,8,,14,4,,5,6,,2536,2324,,68.4,107.4,.349,.437,.553,52.4,53.6,6.3,7.9,.509,15.2,29.0,.271,2019
Marquette,34,24,10,.706,14.78,6.96,,12,6,,16,3,,6,4,,2629,2363,,70.7,108.2,.351,.417,.572,53.0,51.1,6.9,11.2,.535,16.9,29.1,.266,2019
Maryland,34,23,11,.676,16.01,10.09,,13,7,,15,3,,6,5,,2429,2228,,66.6,107.3,.328,.370,.550,56.0,52.1,6.5,13.4,.514,16.5,34.0,.244,2019
Michigan,37,30,7,.811,21.82,10.55,,15,5,,17,1,,7,4,,2575,2158,,65.4,106.5,.275,.399,.542,50.7,54.4,9.3,10.3,.516,12.3,23.9,.193,2019
Michigan State,39,32,7,.821,24.93,12.34,,16,4,,15,1,,8,4,,3025,2534,,68.1,113.1,.336,.378,.585,56.1,66.8,7.5,13.7,.552,16.0,33.2,.253,2019
Minnesota,36,22,14,.611,12.52,11.27,,9,11,,14,3,,2,9,,2543,2498,,67.9,103.7,.416,.296,.521,51.2,59.0,7.1,10.1,.482,14.6,30.9,.283,2019
Mississippi,33,20,13,.606,12.32,8.13,,10,8,,11,5,,6,5,,2485,2347,,69.2,108.4,.309,.399,.568,51.1,54.2,10.2,9.6,.531,16.0,30.1,.242,2019
Mississippi State,34,23,11,.676,15.96,9.07,,10,8,,14,3,,5,5,,2628,2394,,68.6,111.9,.326,.391,.574,52.8,51.4,11.7,14.0,.546,16.5,34.6,.234,2019
Montana,35,26,9,.743,1.50,-5.05,,16,4,,12,2,,9,5,,2665,2397,,68.6,110.6,.313,.385,.585,51.8,52.3,9.5,8.8,.564,15.4,26.6,.216,2019
Murray State,33,28,5,.848,8.96,-3.11,,16,2,,15,1,,10,3,,2727,2255,,71.8,115.0,.335,.364,.586,52.1,59.8,10.5,11.5,.557,14.7,31.3,.246,2019
Nevada,34,29,5,.853,16.00,2.68,,15,3,,15,0,,9,3,,2723,2270,,70.7,113.2,.408,.428,.570,51.8,53.9,8.8,11.2,.537,12.9,27.1,.289,2019
New Mexico State,35,30,5,.857,10.05,-2.38,,15,1,,16,1,,10,1,,2734,2259,,68.3,113.9,.341,.467,.562,57.2,53.4,8.2,8.1,.538,14.7,36.7,.231,2019
North Carolina,36,29,7,.806,23.94,11.35,,16,2,,14,2,,11,1,,3089,2636,,75.9,112.7,.302,.358,.560,56.6,60.6,9.2,9.5,.529,14.6,34.8,.224,2019
North Carolina Central,34,18,16,.529,-11.53,-11.24,,10,6,,10,2,,4,12,,2429,2266,,68.5,104.0,.334,.361,.545,54.8,60.2,8.9,7.5,.512,18.8,35.1,.239,2019
North Dakota State,35,19,16,.543,-4.01,-2.07,,9,7,,10,3,,4,9,,2556,2541,,66.8,108.5,.318,.472,.576,48.7,46.0,6.8,6.6,.540,14.2,20.6,.247,2019
Northeastern,34,23,11,.676,3.95,-0.70,,14,4,,11,2,,8,6,,2564,2406,,66.3,111.7,.343,.464,.597,49.7,54.5,9.2,6.0,.565,15.1,22.5,.258,2019
Northern Kentucky,35,26,9,.743,4.67,-2.39,,13,5,,17,1,,7,7,,2747,2410,,70.0,111.4,.354,.412,.574,53.2,60.5,8.8,11.5,.553,15.6,30.6,.236,2019
Ohio State,35,20,15,.571,13.89,11.00,,8,12,,12,6,,4,7,,2419,2318,,66.7,103.2,.337,.401,.540,50.9,58.9,8.8,7.0,.503,16.4,27.6,.247,2019
Oklahoma,34,20,14,.588,15.30,12.21,,7,11,,11,4,,5,7,,2423,2318,,69.3,102.4,.313,.331,.534,50.2,48.7,8.6,8.3,.504,15.0,25.6,.218,2019
Old Dominion,35,26,9,.743,3.74,-1.18,,13,5,,14,2,,8,4,,2298,2130,,65.6,100.1,.289,.373,.499,53.2,53.3,8.6,14.3,.471,15.0,31.8,.192,2019
Oregon,38,25,13,.658,13.95,6.13,,10,8,,13,4,,5,7,,2661,2364,,65.5,106.2,.294,.395,.549,51.1,52.3,11.6,14.6,.520,15.4,29.1,.212,2019
Prairie View A&M,35,22,13,.629,-7.29,-9.17,,17,1,,11,0,,9,12,,2627,2547,,72.5,103.5,.425,.341,.530,46.7,49.3,12.2,4.6,.493,15.2,29.8,.289,2019
Purdue,36,26,10,.722,21.40,11.99,,16,4,,15,0,,6,6,,2760,2421,,66.1,114.4,.299,.455,.563,53.7,53.6,9.1,12.6,.536,13.5,33.8,.215,2019
Saint Louis,36,23,13,.639,5.06,2.23,,10,8,,15,2,,4,8,,2399,2297,,67.0,99.4,.394,.329,.492,54.5,53.8,10.5,11.9,.467,16.0,35.7,.236,2019
Saint Mary's,34,22,12,.647,12.58,4.40,,11,5,,14,3,,5,5,,2463,2185,,64.3,112.2,.291,.352,.568,54.4,37.9,9.2,6.9,.538,14.1,30.8,.216,2019
Seton Hall,34,20,14,.588,10.25,8.34,,9,9,,11,4,,3,8,,2508,2443,,70.1,104.0,.345,.367,.533,50.0,51.7,9.7,11.2,.499,15.2,29.6,.243,2019
St. John's (NY),34,21,13,.618,7.88,5.50,,8,10,,13,4,,4,7,,2623,2542,,72.6,105.0,.295,.385,.548,45.8,50.0,12.1,9.8,.518,13.0,21.4,.212,2019
Syracuse,34,20,14,.588,13.73,10.09,,10,8,,13,6,,6,4,,2370,2246,,67.2,103.4,.368,.432,.529,48.4,50.5,12.1,16.8,.496,15.9,30.0,.252,2019
Temple,33,23,10,.697,8.17,4.93,,13,5,,13,2,,8,5,,2465,2358,,70.5,104.4,.325,.374,.534,48.2,54.5,12.0,6.2,.499,13.8,26.1,.236,2019
Tennessee,37,31,6,.838,21.55,10.16,,15,3,,18,0,,7,3,,3035,2580,,69.4,116.1,.333,.320,.587,52.3,59.7,8.5,15.2,.554,13.7,30.9,.251,2019
Texas Tech,38,31,7,.816,22.79,9.53,,14,4,,17,1,,6,3,,2765,2261,,67.6,106.9,.329,.360,.567,50.8,52.3,10.7,15.4,.535,15.8,26.3,.241,2019
UC Irvine,37,31,6,.838,5.70,-2.30,,15,1,,12,2,,13,2,,2675,2353,,66.2,107.8,.296,.325,.543,54.8,48.5,8.5,10.9,.516,15.2,34.0,.208,2019
UCF,33,24,9,.727,13.37,5.58,,13,5,,15,2,,5,5,,2385,2128,,67.3,107.1,.453,.356,.557,51.5,53.6,8.5,12.6,.529,15.5,29.0,.294,2019
Utah State,35,28,7,.800,11.98,0.89,,15,3,,14,1,,9,4,,2753,2349,,70.0,111.6,.367,.379,.575,56.2,62.4,8.7,12.2,.538,15.8,31.9,.274,2019
Vermont,34,27,7,.794,4.88,-4.18,,14,2,,16,2,,11,4,,2508,2143,,66.5,110.2,.359,.403,.568,53.2,46.2,8.3,11.9,.530,14.6,27.3,.269,2019
Villanova,36,26,10,.722,14.33,7.97,,13,5,,13,2,,5,7,,2654,2425,,65.0,112.2,.344,.535,.565,51.3,56.9,8.2,8.7,.532,14.2,30.1,.251,2019
Virginia,38,35,3,.921,25.46,10.15,,16,2,,15,1,,10,1,,2714,2132,,60.8,116.3,.291,.395,.580,53.9,55.9,9.0,13.0,.552,12.8,29.7,.216,2019
Virginia Commonwealth,33,25,8,.758,11.96,2.87,,16,2,,16,1,,8,4,,2344,2044,,69.0,102.1,.357,.412,.535,50.8,54.9,11.5,12.2,.501,17.3,31.0,.251,2019
Virginia Tech,35,26,9,.743,19.28,7.79,,12,6,,14,2,,5,5,,2574,2172,,64.4,113.3,.319,.437,.588,51.9,59.5,10.4,8.4,.556,15.2,29.2,.243,2019
Washington,36,27,9,.750,12.01,7.01,,15,3,,15,1,,7,4,,2511,2331,,67.4,103.2,.347,.399,.551,47.6,47.5,13.3,16.3,.521,17.4,28.8,.241,2019
Wisconsin,34,23,11,.676,17.90,11.01,,14,6,,12,3,,8,5,,2333,2099,,64.8,103.9,.273,.346,.531,49.8,49.2,7.9,11.0,.511,13.0,24.3,.177,2019
Wofford,35,30,5,.857,13.92,0.80,,18,0,,15,1,,11,3,,2879,2295,,68.5,119.2,.271,.436,.598,54.5,50.6,9.6,9.1,.580,13.5,32.5,.190,2019
Yale,30,22,8,.733,5.52,-1.24,,10,4,,11,2,,8,5,,2427,2202,,72.9,109.7,.307,.350,.584,52.9,56.3,8.0,11.2,.556,15.9,25.8,.227,2019
Abilene Christian,29,24,5,.828,6.27,-6.37,,13,2,,13,0,,5,4,,2196,1753,,72.0,105.2,.339,.367,.540,51.5,65.3,13.5,8.9,.512,16.2,31.3,.230,2021
Alabama,33,26,7,.788,19.58,10.01,,16,2,,12,1,,7,3,,2629,2313,,74.7,106.3,.288,.465,.544,51.7,50.2,11.3,10.6,.517,15.9,31.8,.204,2021
Appalachian State,29,17,12,.586,-5.84,-5.72,,7,8,,9,4,,4,7,,2039,1860,,66.8,103.1,.340,.437,.520,50.8,49.9,11.6,10.4,.478,14.9,29.8,.252,2021
Arkansas,32,25,7,.781,17.80,7.18,,13,4,,16,1,,5,4,,2604,2264,,75.1,108.0,.327,.339,.544,52.6,49.8,10.4,13.0,.508,14.7,31.3,.242,2021
Baylor,30,28,2,.933,24.83,7.40,,13,1,,11,0,,7,1,,2487,1964,,69.6,118.6,.265,.384,.586,53.2,55.3,12.7,10.3,.565,14.0,36.4,.188,2021
Brigham Young,27,20,7,.741,15.19,7.23,,10,3,,11,2,,7,2,,2109,1853,,70.2,109.8,.275,.394,.580,54.7,56.2,6.5,7.2,.556,16.4,28.6,.200,2021
Clemson,24,16,8,.667,12.49,9.49,,10,6,,11,1,,2,5,,1558,1486,,64.9,99.5,.232,.434,.530,49.9,56.8,9.3,9.2,.500,17.1,26.4,.178,2021
Cleveland State,27,19,8,.704,-5.12,-4.82,,16,4,,9,2,,8,5,,1914,1922,,67.6,102.6,.325,.343,.532,49.4,52.9,10.1,7.8,.505,16.2,30.5,.218,2021
Colgate,16,14,2,.875,13.66,-1.90,,11,1,,8,1,,6,0,,1363,1114,,72.7,116.3,.309,.365,.591,53.2,57.0,9.6,8.5,.566,13.0,27.6,.224,2021
Colorado,32,23,9,.719,18.88,9.57,,14,6,,11,1,,6,6,,2340,2042,,66.5,109.9,.295,.364,.565,53.2,52.7,7.8,7.8,.524,15.0,30.6,.241,2021
Connecticut,23,15,8,.652,15.77,8.59,,11,6,,7,3,,6,3,,1650,1485,,66.2,107.8,.290,.334,.522,53.6,49.3,9.3,14.6,.490,14.5,37.0,.210,2021
Creighton,31,22,9,.710,16.28,8.54,,14,6,,11,3,,7,4,,2355,2115,,69.6,108.3,.257,.436,.564,49.4,55.2,9.9,9.0,.550,14.0,24.3,.164,2021
Drake,31,26,5,.839,9.42,-0.48,,15,3,,14,1,,9,2,,2354,1999,,66.8,112.8,.239,.316,.563,53.7,46.6,10.4,8.4,.542,13.3,31.1,.170,2021
Drexel,20,12,8,.600,-0.97,-3.92,,4,5,,3,2,,4,5,,1407,1348,,66.0,106.5,.273,.355,.566,53.2,58.0,6.9,6.4,.533,17.1,28.4,.213,2021
Eastern Washington,24,16,8,.667,4.03,-3.15,,12,3,,7,2,,6,5,,1879,1690,,71.8,109.0,.302,.403,.576,50.7,54.7,6.7,7.4,.540,14.5,23.0,.239,2021
Florida,25,15,10,.600,13.70,9.82,,9,7,,6,3,,5,5,,1854,1757,,70.6,104.6,.339,.338,.567,51.5,44.2,10.2,14.1,.531,18.7,30.6,.255,2021
Florida State,25,18,7,.720,17.12,9.16,,11,4,,12,1,,3,4,,1929,1730,,70.0,109.1,.324,.349,.572,52.6,52.4,10.3,14.3,.540,17.6,33.7,.240,2021
Georgetown,26,13,13,.500,10.13,10.36,,7,9,,7,6,,2,6,,1857,1863,,70.4,101.0,.308,.389,.532,53.3,51.7,8.3,10.4,.494,18.5,31.9,.232,2021
Georgia Tech,26,17,9,.654,12.79,7.91,,11,6,,11,3,,4,5,,1948,1821,,67.9,107.8,.284,.364,.567,46.9,57.1,13.1,9.6,.540,14.4,24.3,.206,2021
Gonzaga,32,31,1,.969,27.20,5.92,,15,0,,12,0,,7,0,,2911,2230,,74.6,121.5,.358,.332,.633,55.0,55.7,10.6,6.9,.610,14.3,29.2,.261,2021
Grand Canyon,24,17,7,.708,5.11,-3.46,,9,3,,10,3,,5,1,,1812,1491,,68.2,110.7,.314,.358,.570,56.8,57.7,7.1,9.1,.547,16.2,32.4,.215,2021
Hartford,24,15,9,.625,-3.45,-4.95,,8,6,,10,1,,5,6,,1570,1534,,67.0,97.6,.286,.425,.530,48.7,47.0,10.3,6.6,.499,17.5,24.3,.205,2021
Houston,32,28,4,.875,21.66,5.37,,14,3,,15,0,,5,3,,2434,1863,,66.1,115.1,.303,.420,.542,56.2,52.2,12.1,14.7,.510,13.2,39.4,.222,2021
Illinois,31,24,7,.774,23.25,11.34,,16,4,,11,2,,9,3,,2497,2128,,71.2,111.7,.379,.299,.582,56.8,55.7,7.9,6.9,.556,15.8,32.0,.262,2021
Iona,18,12,6,.667,-1.20,-6.42,,6,3,,4,2,,4,3,,1283,1189,,69.9,102.0,.345,.377,.546,53.5,54.9,9.8,12.5,.507,19.3,32.2,.256,2021
Iowa,31,22,9,.710,21.40,10.43,,14,6,,14,2,,6,4,,2595,2255,,71.0,117.5,.320,.398,.574,51.8,64.4,7.8,11.6,.547,11.5,30.5,.228,2021
Kansas,30,21,9,.700,15.29,10.26,,12,6,,14,1,,4,6,,2191,2010,,69.7,104.3,.298,.367,.531,52.0,52.6,9.9,10.9,.499,14.8,30.5,.213,2021
Liberty,29,23,6,.793,4.06,-6.14,,11,2,,13,0,,5,3,,2157,1739,,64.9,114.6,.237,.474,.604,52.9,58.6,7.2,7.1,.580,13.9,23.4,.184,2021
Louisiana State,29,19,10,.655,15.70,9.14,,11,6,,11,2,,4,6,,2371,2181,,72.6,112.1,.340,.370,.560,50.4,42.0,10.6,8.2,.523,13.5,31.2,.255,2021
Loyola (IL),31,26,5,.839,15.12,1.37,,16,2,,13,0,,8,3,,2202,1738,,63.8,110.5,.322,.375,.592,54.2,60.9,10.8,7.0,.567,16.4,25.9,.231,2021
Maryland,31,17,14,.548,13.94,11.97,,9,11,,11,6,,4,6,,2135,2034,,65.9,104.4,.329,.433,.564,49.1,55.1,7.6,10.0,.538,15.3,20.2,.230,2021
Michigan,28,23,5,.821,22.00,11.25,,14,3,,13,1,,6,2,,2123,1822,,67.8,111.3,.304,.339,.581,54.7,57.5,6.3,10.1,.547,14.7,28.9,.233,2021
Michigan State,28,15,13,.536,9.80,11.48,,9,11,,12,3,,3,8,,1944,1991,,68.9,100.3,.313,.339,.518,52.2,63.7,6.4,12.3,.481,16.2,30.5,.228,2021
Missouri,26,16,10,.615,12.37,10.87,,8,8,,8,4,,6,4,,1909,1870,,70.4,103.3,.371,.379,.542,50.3,51.6,9.4,9.0,.508,16.4,28.3,.260,2021
Morehead State,31,23,8,.742,-0.95,-4.33,,17,3,,12,1,,8,5,,2132,1986,,67.1,101.6,.354,.351,.553,54.8,51.9,6.5,14.6,.525,19.8,31.7,.240,2021
Mount St. Mary's,23,12,11,.522,-5.67,-6.67,,9,7,,6,3,,6,6,,1454,1431,,63.8,98.0,.298,.367,.513,53.7,50.5,6.6,11.2,.486,17.3,30.8,.200,2021
Norfolk State,25,17,8,.680,-6.16,-8.51,,8,4,,7,4,,6,3,,1839,1742,,72.0,101.7,.370,.357,.530,49.6,47.9,9.0,10.3,.492,15.6,27.3,.261,2021
North Carolina,29,18,11,.621,14.79,9.52,,10,6,,10,1,,3,7,,2181,2028,,71.8,104.8,.342,.279,.514,56.8,55.3,9.8,12.8,.483,16.6,40.6,.228,2021
North Texas,28,18,10,.643,7.58,1.02,,9,5,,8,3,,5,6,,1954,1745,,65.2,106.1,.271,.377,.571,51.8,52.0,9.9,8.4,.544,17.4,28.1,.202,2021
Ohio,25,17,8,.680,5.48,-0.57,,9,5,,8,3,,4,4,,1980,1815,,71.6,110.6,.295,.390,.572,51.2,60.0,9.0,5.9,.548,14.8,28.2,.207,2021
Ohio State,31,21,10,.677,18.25,12.19,,12,8,,10,4,,7,4,,2392,2204,,67.6,112.7,.372,.392,.569,52.2,49.6,6.6,9.6,.529,13.5,29.2,.281,2021
Oklahoma,27,16,11,.593,13.52,8.86,,9,8,,10,3,,4,7,,2012,1886,,69.2,106.2,.293,.382,.542,49.7,49.7,10.2,9.8,.508,13.7,26.7,.218,2021
Oklahoma State,30,21,9,.700,13.65,9.78,,11,7,,10,3,,8,4,,2297,2181,,73.0,102.7,.376,.322,.547,51.5,47.2,10.0,11.3,.512,18.2,31.1,.267,2021
Oral Roberts,29,18,11,.621,1.73,-0.04,,10,5,,8,3,,5,7,,2352,2192,,73.6,109.7,.275,.471,.576,46.8,45.6,8.9,8.9,.539,13.9,22.9,.225,2021
Oregon,28,21,7,.750,16.15,9.65,,14,4,,11,2,,7,2,,2097,1915,,68.2,109.9,.260,.376,.565,50.8,49.9,10.9,10.7,.542,14.7,28.8,.185,2021
Oregon State,33,20,13,.606,11.48,10.82,,10,10,,10,6,,4,6,,2325,2232,,66.2,105.7,.349,.350,.541,50.5,59.8,8.7,10.5,.498,15.1,29.9,.265,2021
Purdue,28,18,10,.643,15.55,11.23,,13,6,,11,1,,5,6,,1989,1868,,66.5,105.8,.317,.378,.542,54.5,55.9,7.6,11.4,.510,16.0,32.6,.226,2021
Rutgers,28,16,12,.571,14.14,12.50,,10,10,,10,4,,4,6,,1939,1893,,68.3,101.0,.271,.334,.520,49.2,51.8,11.1,13.9,.501,14.7,27.3,.173,2021
San Diego State,28,23,5,.821,14.36,2.99,,14,3,,13,2,,6,2,,2062,1713,,66.9,109.5,.335,.408,.557,52.8,54.2,12.2,9.9,.526,14.4,29.0,.241,2021
Southern California,33,25,8,.758,20.50,10.65,,15,5,,13,2,,7,3,,2473,2148,,67.7,109.0,.363,.310,.551,54.4,50.7,6.9,12.9,.528,15.4,34.4,.235,2021
St. Bonaventure,21,16,5,.762,13.44,4.49,,11,4,,8,1,,4,3,,1471,1283,,65.3,107.3,.280,.319,.530,52.3,56.5,9.0,12.5,.498,14.0,32.7,.207,2021
Syracuse,28,18,10,.643,13.27,8.59,,9,7,,13,1,,2,7,,2095,1964,,69.3,107.5,.283,.403,.549,48.3,56.4,11.7,14.7,.512,14.3,28.8,.221,2021
Tennessee,27,18,9,.667,16.87,8.46,,10,7,,13,3,,4,4,,1941,1714,,68.7,104.6,.344,.346,.537,51.4,58.8,10.6,14.1,.496,15.7,31.3,.257,2021
Texas,27,19,8,.704,15.51,9.36,,11,6,,8,5,,6,2,,2008,1842,,69.5,105.5,.339,.421,.559,52.7,50.9,9.2,10.4,.529,18.0,30.9,.240,2021
Texas Southern,26,17,9,.654,-6.15,-9.03,,10,3,,8,2,,5,6,,1921,1806,,73.9,99.6,.379,.271,.521,53.4,45.2,9.4,12.1,.482,17.8,31.9,.265,2021
Texas Tech,29,18,11,.621,16.59,7.28,,9,8,,11,4,,5,4,,2103,1833,,67.1,107.1,.379,.313,.533,51.2,51.4,10.5,12.2,.494,13.7,32.8,.269,2021
UC Santa Barbara,27,22,5,.815,7.80,-2.08,,15,3,,11,0,,8,4,,2051,1696,,67.2,112.0,.340,.340,.575,54.2,59.3,10.9,7.5,.541,14.2,29.5,.256,2021
UCLA,32,22,10,.688,16.30,11.34,,13,6,,11,1,,5,6,,2349,2190,,65.4,108.4,.316,.316,.551,52.6,51.1,7.3,7.9,.520,13.6,29.2,.226,2021
UNC Greensboro,30,21,9,.700,3.48,-2.15,,13,5,,7,3,,10,3,,2189,2020,,70.5,103.1,.237,.390,.503,51.8,45.0,10.6,11.9,.479,13.1,31.4,.162,2021
Utah State,29,20,9,.690,10.99,1.32,,13,4,,10,2,,5,3,,2105,1808,,69.5,104.4,.299,.322,.532,57.3,60.7,9.6,14.9,.500,16.9,35.4,.216,2021
Villanova,25,18,7,.720,17.47,9.19,,11,4,,9,0,,4,4,,1870,1663,,65.7,113.3,.300,.448,.566,50.9,57.1,7.7,5.7,.532,12.1,27.5,.229,2021
Virginia,25,18,7,.720,15.27,7.59,,13,4,,10,1,,6,3,,1705,1513,,60.8,111.5,.217,.427,.583,51.7,54.8,8.0,13.4,.554,13.5,22.6,.177,2021
Virginia Commonwealth,26,19,7,.731,11.30,4.76,,10,4,,12,2,,5,3,,1864,1694,,70.5,101.2,.340,.349,.550,49.6,52.7,13.0,14.8,.509,18.3,28.0,.259,2021
Virginia Tech,22,15,7,.682,12.59,6.50,,9,4,,10,2,,3,3,,1585,1451,,66.4,106.7,.334,.410,.552,51.8,56.1,7.1,11.5,.523,15.1,27.8,.233,2021
West Virginia,29,19,10,.655,15.36,10.05,,11,6,,8,5,,7,2,,2243,2089,,70.6,108.2,.379,.331,.530,51.8,52.9,10.6,7.7,.489,14.1,35.5,.273,2021
Wichita State,22,16,6,.727,9.36,6.91,,11,2,,10,2,,5,2,,1572,1469,,68.6,103.0,.366,.402,.508,49.0,53.7,8.8,10.0,.472,13.7,30.2,.249,2021
Winthrop,25,23,2,.920,4.69,-7.15,,17,1,,11,1,,10,0,,1972,1676,,72.5,108.8,.356,.393,.555,56.1,53.8,10.3,6.5,.526,16.4,35.0,.245,2021
Wisconsin,31,18,13,.581,17.22,11.93,,10,10,,11,5,,5,6,,2167,2003,,65.8,105.4,.262,.409,.533,49.0,54.0,8.5,10.7,.499,12.1,23.6,.202,2021
Akron,34,24,10,.706,0.91,-3.93,,14,6,,12,3,,8,4,,2402,2130,,64.1,109.8,.390,.416,.563,53.0,47.9,9.1,9.2,.533,15.4,30.6,.268,2022
Alabama,33,19,14,.576,14.62,11.59,,9,9,,13,3,,3,7,,2623,2523,,73.2,108.1,.329,.476,.547,52.3,53.1,9.6,11.9,.513,16.7,35.3,.239,2022
Arizona,37,33,4,.892,22.75,6.84,,18,2,,17,0,,9,3,,3107,2518,,72.7,114.7,.349,.359,.587,55.0,65.0,9.2,13.4,.556,15.8,34.6,.258,2022
Arkansas,37,28,9,.757,16.27,8.62,,13,5,,17,1,,5,4,,2810,2527,,72.0,104.8,.372,.342,.533,52.0,52.7,10.5,11.7,.486,14.6,29.5,.282,2022
Auburn,34,28,6,.824,19.20,8.17,,15,3,,16,0,,8,3,,2660,2285,,71.3,108.1,.316,.398,.534,52.5,53.1,11.5,21.1,.499,14.2,33.6,.231,2022
Baylor,34,27,7,.794,21.73,8.76,,14,4,,15,2,,8,3,,2619,2178,,68.6,111.5,.290,.384,.553,53.4,56.3,12.7,9.7,.528,15.1,36.3,.202,2022
Boise State,35,27,8,.771,11.93,5.22,,15,3,,13,3,,9,3,,2389,2130,,64.9,104.1,.350,.388,.536,53.6,47.0,9.1,9.6,.512,15.9,30.6,.227,2022
Bryant,32,22,10,.688,-4.80,-7.41,,15,2,,14,1,,7,7,,2497,2348,,73.0,106.1,.322,.431,.538,51.8,50.5,8.8,10.1,.502,16.1,33.1,.236,2022
Cal State Fullerton,32,21,11,.656,-0.04,-2.28,,12,5,,11,2,,7,7,,2239,2129,,67.2,104.2,.351,.300,.539,51.1,45.5,10.8,5.7,.494,15.7,29.7,.269,2022
Chattanooga,35,27,8,.771,6.12,-0.94,,14,4,,12,3,,12,4,,2596,2253,,66.0,111.6,.266,.389,.560,53.7,47.0,10.8,6.4,.531,14.2,32.7,.198,2022
Colgate,35,23,12,.657,0.98,-6.37,,16,2,,15,1,,8,10,,2646,2349,,67.6,111.4,.262,.422,.579,51.9,62.0,9.0,9.3,.559,14.8,26.6,.182,2022
Colorado State,31,25,6,.806,11.51,4.77,,14,4,,14,1,,6,3,,2275,2047,,66.0,110.4,.296,.395,.583,49.8,53.8,9.6,9.8,.551,13.8,22.1,.229,2022
Connecticut,33,23,10,.697,16.40,6.88,,13,6,,14,2,,5,5,,2469,2155,,66.8,109.9,.305,.345,.534,55.1,52.6,8.7,16.6,.496,14.4,37.7,.230,2022
Creighton,35,23,12,.657,11.34,8.54,,12,7,,11,4,,6,5,,2422,2324,,68.1,100.5,.267,.381,.537,51.7,52.0,8.0,10.1,.506,17.9,28.4,.197,2022
Davidson,34,27,7,.794,10.43,1.92,,15,3,,13,1,,9,3,,2567,2244,,66.1,113.8,.316,.412,.591,52.3,54.8,7.0,8.2,.561,13.3,23.8,.238,2022
